SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	262144	5456.83
800000	1048576	4983.28
10	262144	2536.94
40000	524288	5788.3
40000	2097152	5926.39
40000	1048576	5719.82
600000	2097152	5141.19
400000	262144	6453.9
10	3145728	2548.93
800000	3145728	5258.89
600000	1048576	5655.73
1000000	2097152	5195.59
10	1048576	2533.33
200000	262144	6986.03
1000000	262144	5236.4
1000000	524288	4937.02
10	6291456	2603.83
200000	2097152	5664.02
1000000	1048576	4935.06
40000	6291456	6161.37
400000	6291456	6275.97
40000	262144	5907.3
400000	2097152	5622.43
400000	524288	5833.88
400000	3145728	6134.85
40000	3145728	6040.17
600000	6291456	5927.24
200000	6291456	6158.73
400000	1048576	5600.81
1000000	3145728	4849.41
10	524288	2511.54
600000	262144	6139.61
800000	2097152	4977.42
200000	3145728	7149.89
600000	524288	5412.34
800000	524288	5346.59
200000	1048576	6000.14
1000000	6291456	5244.6
800000	6291456	4882.2
10	2097152	2520.22
600000	3145728	5449.91
200000	524288	6509.04
