SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	3145728	18.03
400000	1048576	69.08
400000	524288	67.28
200000	2097152	54.13
200000	6291456	54.58
10	2097152	18.45
600000	262144	76.7
200000	1048576	54.15
40000	1048576	32.9
200000	524288	54.13
800000	2097152	81.79
800000	6291456	82.47
400000	262144	69.31
1000000	6291456	85.85
1000000	2097152	85.94
400000	6291456	68.51
800000	3145728	82.07
1000000	524288	86.1
40000	2097152	33.42
600000	524288	77.23
400000	2097152	67.59
40000	3145728	33.38
40000	262144	32.79
40000	524288	32.59
10	1048576	18.21
600000	1048576	76.81
800000	1048576	83.74
600000	3145728	75.94
600000	2097152	75.62
800000	262144	81.73
400000	3145728	68.89
1000000	1048576	86.54
600000	6291456	77.11
10	524288	18.14
1000000	262144	85.67
200000	262144	54.19
800000	524288	82.0
10	262144	18.31
10	6291456	18.45
1000000	3145728	87.77
40000	6291456	33.03
200000	3145728	54.6
