SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
40000	6291456	2777.79
40000	3145728	2660.59
1000000	1048576	2942.38
40000	2097152	2587.98
400000	262144	2894.84
800000	524288	3043.1
10	524288	2498.73
800000	6291456	2959.54
400000	6291456	2827.04
1000000	6291456	3055.27
1000000	524288	2943.43
40000	524288	2712.73
200000	524288	2352.14
40000	262144	2691.2
200000	262144	2340.54
10	2097152	2442.63
600000	524288	2846.05
200000	6291456	2245.14
10	6291456	2617.56
200000	2097152	2310.9
400000	1048576	2709.4
600000	6291456	3037.38
400000	524288	2798.85
400000	3145728	2961.16
10	1048576	2602.63
10	3145728	2567.19
800000	3145728	2972.23
600000	3145728	2958.63
1000000	2097152	3051.53
200000	3145728	2336.86
600000	2097152	2835.59
1000000	3145728	2693.21
800000	262144	2734.69
200000	1048576	2247.87
400000	2097152	3013.92
10	262144	2526.04
800000	1048576	2800.4
1000000	262144	2714.31
40000	1048576	2742.38
600000	1048576	3000.66
800000	2097152	2818.79
600000	262144	3142.09
