SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	6291456	839.39
400000	1048576	1497.56
40000	6291456	1005.18
800000	2097152	1549.58
400000	2097152	1627.87
200000	524288	1372.24
10	3145728	871.5
600000	6291456	1406.29
40000	1048576	993.05
40000	262144	998.56
1000000	1048576	1473.42
600000	524288	1370.6
200000	1048576	1383.92
1000000	3145728	1649.28
800000	524288	1386.89
200000	6291456	1309.71
800000	3145728	1525.98
1000000	6291456	1212.06
400000	262144	1516.47
600000	2097152	1626.78
400000	6291456	1486.19
800000	1048576	1424.95
1000000	2097152	1745.24
200000	2097152	1455.19
10	262144	864.41
10	1048576	897.52
600000	1048576	1713.1
40000	2097152	978.75
200000	3145728	1348.82
600000	262144	1328.68
1000000	262144	1445.62
40000	524288	1015.75
800000	6291456	1551.53
400000	524288	1472.54
40000	3145728	993.52
600000	3145728	1615.85
10	2097152	862.64
200000	262144	1374.07
10	524288	852.38
1000000	524288	1476.93
400000	3145728	1604.86
800000	262144	1493.38
