SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	1048576	4632.1
10	524288	2625.22
1000000	524288	4326.71
1000000	1048576	4772.46
1000000	3145728	4646.13
400000	1048576	5809.78
600000	6291456	4700.61
800000	262144	4694.14
40000	524288	5926.39
40000	6291456	5808.76
1000000	262144	4693.81
400000	2097152	5622.9
600000	524288	4753.73
600000	2097152	4424.52
40000	1048576	6065.92
200000	262144	6405.59
800000	2097152	4223.07
40000	3145728	5987.51
600000	262144	5295.07
800000	524288	4522.04
10	1048576	2535.59
400000	3145728	6042.89
200000	2097152	6517.49
200000	524288	5731.02
200000	6291456	6157.03
10	2097152	2446.85
400000	524288	5663.36
400000	6291456	6000.21
400000	262144	5747.09
1000000	2097152	4452.66
200000	1048576	6154.4
10	6291456	2578.87
1000000	6291456	4370.54
40000	262144	6176.52
10	3145728	2494.37
800000	6291456	5028.76
200000	3145728	6490.03
40000	2097152	6137.74
600000	1048576	4675.27
800000	3145728	5308.25
10	262144	2528.83
600000	3145728	4922.27
