SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	3145728	65.73
40000	6291456	30.9
400000	524288	62.01
1000000	3145728	76.56
1000000	1048576	73.54
800000	1048576	70.92
200000	262144	49.34
200000	2097152	49.07
10	2097152	18.56
40000	524288	30.66
200000	1048576	49.06
800000	6291456	73.15
1000000	6291456	73.78
10	262144	18.62
10	524288	18.25
400000	2097152	61.95
40000	3145728	30.7
400000	6291456	61.25
10	1048576	18.11
40000	2097152	30.79
10	3145728	18.71
40000	262144	30.32
1000000	524288	72.83
600000	6291456	67.63
400000	1048576	60.62
200000	6291456	49.67
1000000	262144	74.52
10	6291456	18.41
800000	3145728	71.54
600000	1048576	66.95
800000	2097152	73.0
600000	2097152	67.87
40000	1048576	30.03
600000	262144	67.63
400000	3145728	61.8
800000	524288	71.62
400000	262144	62.5
1000000	2097152	75.75
200000	3145728	49.09
600000	524288	67.84
800000	262144	73.26
200000	524288	48.68
