SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	262144	57.67
800000	524288	69.45
200000	3145728	45.96
600000	2097152	64.66
10	3145728	18.35
400000	3145728	56.22
1000000	6291456	72.34
40000	2097152	27.1
10	2097152	18.45
400000	1048576	57.29
10	1048576	18.65
200000	524288	45.13
400000	6291456	56.81
40000	3145728	26.84
1000000	1048576	73.13
200000	2097152	45.67
40000	1048576	26.82
800000	3145728	69.62
600000	3145728	62.99
40000	6291456	26.91
600000	1048576	63.38
600000	524288	64.2
1000000	524288	73.21
200000	1048576	45.18
600000	6291456	63.9
1000000	262144	72.01
800000	262144	70.23
800000	1048576	68.69
1000000	2097152	73.09
1000000	3145728	74.09
40000	524288	26.55
200000	6291456	45.02
400000	2097152	57.16
800000	2097152	67.84
600000	262144	64.02
10	524288	18.2
40000	262144	26.82
800000	6291456	69.58
400000	524288	56.83
10	6291456	18.31
200000	262144	45.47
10	262144	18.41
