SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	3145728	1079.58
400000	262144	991.83
400000	1048576	1050.75
400000	524288	1032.58
400000	2097152	1041.68
1000000	2097152	1296.87
200000	524288	731.79
40000	1048576	814.02
800000	1048576	1007.07
200000	2097152	719.51
40000	3145728	863.99
10	2097152	863.99
40000	6291456	859.69
800000	6291456	1186.95
40000	262144	880.46
600000	1048576	1200.49
600000	2097152	1175.36
40000	524288	835.91
10	262144	865.12
1000000	6291456	1157.47
400000	6291456	1002.68
200000	6291456	721.16
200000	1048576	724.63
800000	524288	1268.99
200000	3145728	698.64
10	1048576	876.98
40000	2097152	848.9
800000	262144	1258.85
600000	262144	1313.85
200000	262144	732.27
1000000	524288	1374.86
10	524288	864.51
600000	6291456	1113.32
600000	524288	1218.91
1000000	262144	1270.07
1000000	3145728	1172.88
10	3145728	864.98
800000	3145728	1147.89
1000000	1048576	1326.48
400000	3145728	1082.81
800000	2097152	1294.6
10	6291456	864.93
