SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	6291456	49.63
600000	524288	48.39
200000	2097152	30.88
40000	6291456	21.77
400000	262144	42.28
40000	2097152	21.71
800000	2097152	55.86
200000	6291456	30.45
40000	524288	21.83
10	3145728	18.18
1000000	524288	58.51
800000	524288	55.49
400000	1048576	42.19
200000	3145728	30.55
600000	3145728	48.77
400000	2097152	41.87
400000	6291456	42.29
800000	1048576	55.28
40000	262144	21.77
600000	2097152	49.02
1000000	1048576	59.29
1000000	2097152	59.28
10	262144	17.85
800000	3145728	54.35
800000	262144	55.49
10	2097152	18.52
1000000	3145728	59.35
10	6291456	18.37
600000	1048576	49.6
200000	524288	31.4
10	524288	18.42
200000	1048576	30.63
1000000	262144	59.82
40000	3145728	21.3
800000	6291456	55.91
10	1048576	18.31
40000	1048576	21.94
600000	262144	49.67
1000000	6291456	59.38
200000	262144	30.88
400000	524288	42.24
400000	3145728	42.18
