SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	262144	3490.54
200000	3145728	4173.99
1000000	3145728	3489.04
200000	262144	3740.09
400000	3145728	3833.11
400000	2097152	3939.17
40000	1048576	3068.64
1000000	524288	3449.4
40000	262144	3331.39
10	6291456	2429.92
200000	2097152	4137.65
1000000	6291456	3692.45
200000	1048576	4139.05
800000	6291456	2793.15
1000000	1048576	3685.24
800000	2097152	3417.87
600000	6291456	3533.53
800000	1048576	3540.06
40000	6291456	2964.97
400000	1048576	3894.89
800000	262144	3304.51
40000	3145728	2903.81
10	1048576	2579.33
200000	6291456	3770.27
800000	524288	3448.91
200000	524288	3757.37
40000	2097152	3139.31
400000	6291456	3993.38
10	2097152	2593.53
10	3145728	2579.46
600000	262144	4002.45
1000000	262144	3536.11
10	524288	2484.9
1000000	2097152	3462.77
600000	2097152	3953.14
10	262144	2498.23
600000	524288	4068.67
800000	3145728	3297.83
400000	524288	4137.81
600000	1048576	3237.4
40000	524288	3135.22
600000	3145728	3479.97
