SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	4632.1
1000000	100	4772.46
400000	100	5809.78
1000000	1	73.54
800000	1	70.92
40000	50	2122.42
1000000	50	1657.34
200000	1	49.06
40000	100	6065.92
200000	50	2855.77
10	1	18.11
10	100	2535.59
400000	1	60.62
600000	1	66.95
800000	50	2106.8
600000	50	1842.46
40000	1	30.03
400000	50	2495.66
200000	100	6154.4
10	50	854.9
600000	100	4675.27
