SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	4694.14
600000	50	2147.62
1000000	100	4693.81
200000	1	49.34
800000	50	2109.96
10	50	864.05
200000	100	6405.59
600000	100	5295.07
10	1	18.62
1000000	50	1837.0
40000	1	30.32
40000	50	2131.1
1000000	1	74.52
600000	1	67.63
400000	100	5747.09
200000	50	2792.99
40000	100	6176.52
400000	1	62.5
400000	50	2267.7
800000	1	73.26
10	100	2528.83
