SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	100	5829.2
1000000	1	72.34
800000	50	1683.69
1000000	50	1597.81
200000	50	2374.62
400000	1	56.81
40000	1	26.91
800000	100	4487.28
400000	100	5111.04
1000000	100	3950.16
600000	1	63.9
400000	50	2245.9
200000	1	45.02
10	50	893.7
40000	50	1613.41
600000	100	4721.09
40000	100	4689.09
10	100	2587.64
600000	50	2045.18
800000	1	69.58
10	1	18.31
