SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	1	45.96
400000	50	2068.55
600000	100	4462.4
200000	100	6154.35
10	1	18.35
400000	1	56.22
800000	50	1654.21
40000	1	26.84
1000000	100	3887.47
800000	1	69.62
600000	1	62.99
400000	100	5200.52
10	100	2599.63
1000000	1	74.09
40000	50	1594.71
800000	100	4459.07
600000	50	1968.82
10	50	863.63
200000	50	2308.73
40000	100	4806.81
1000000	50	1878.52
