SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
10	50	897.77
200000	1	54.13
10	1	18.45
40000	100	5926.39
800000	1	81.79
1000000	50	2381.69
600000	100	5141.19
1000000	100	5195.59
800000	50	2505.32
1000000	1	85.94
200000	50	2884.78
40000	1	33.42
400000	1	67.59
200000	100	5664.02
600000	50	2429.0
600000	1	75.62
400000	50	2560.7
400000	100	5622.43
800000	100	4977.42
40000	50	2547.07
10	100	2520.22
