SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	50	1497.56
40000	100	3068.64
40000	50	993.05
400000	1	42.19
1000000	50	1473.42
200000	100	4139.05
200000	50	1383.92
800000	1	55.28
1000000	100	3685.24
800000	100	3540.06
400000	100	3894.89
1000000	1	59.29
800000	50	1424.95
10	100	2579.33
10	50	897.52
600000	50	1713.1
600000	1	49.6
200000	1	30.63
10	1	18.31
40000	1	21.94
600000	100	3237.4
