SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	1	64.66
1000000	100	4143.26
10	100	2538.13
40000	1	27.1
10	1	18.45
200000	1	45.67
10	50	906.33
40000	100	4782.79
200000	50	2248.75
1000000	1	73.09
400000	1	57.16
800000	1	67.84
400000	100	5116.0
800000	50	1683.58
400000	50	2065.74
600000	100	4306.3
200000	100	5873.7
600000	50	1948.49
1000000	50	1951.59
40000	50	1619.25
800000	100	3631.64
