SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	1	42.28
400000	100	3490.54
200000	100	3740.09
40000	100	3331.39
40000	50	998.56
40000	1	21.77
800000	100	3304.51
400000	50	1516.47
10	1	17.85
800000	1	55.49
10	50	864.41
1000000	1	59.82
600000	50	1328.68
600000	100	4002.45
1000000	100	3536.11
1000000	50	1445.62
10	100	2498.23
600000	1	49.67
200000	50	1374.07
200000	1	30.88
800000	50	1493.38
