SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '104857600'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	50	1079.58
40000	1	21.08
40000	100	2660.59
800000	1	45.55
1000000	1	49.94
600000	1	39.5
40000	50	863.99
10	1	18.05
200000	1	24.34
400000	100	2961.16
10	100	2567.19
800000	100	2972.23
600000	100	2958.63
200000	100	2336.86
1000000	100	2693.21
200000	50	698.64
400000	1	31.66
1000000	50	1172.88
10	50	864.98
800000	50	1147.89
400000	50	1082.81
