SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	1	67.28
600000	50	2618.47
40000	100	5788.3
200000	1	54.13
400000	50	2557.6
40000	50	2519.96
1000000	100	4937.02
1000000	1	86.1
200000	50	2875.9
600000	1	77.23
40000	1	32.59
400000	100	5833.88
800000	50	2488.92
10	1	18.14
10	100	2511.54
1000000	50	2438.5
600000	100	5412.34
800000	1	82.0
800000	100	5346.59
10	50	887.46
200000	100	6509.04
