SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '104857600'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
1000000	1	49.74
400000	50	1032.58
800000	1	44.7
800000	100	3043.1
10	100	2498.73
200000	50	731.79
600000	1	38.82
1000000	100	2943.43
40000	100	2712.73
200000	100	2352.14
600000	100	2846.05
200000	1	24.66
400000	100	2798.85
40000	50	835.91
10	1	18.6
800000	50	1268.99
400000	1	32.12
40000	1	21.07
1000000	50	1374.86
10	50	864.51
600000	50	1218.91
