SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	5456.83
10	100	2536.94
600000	1	76.7
400000	100	6453.9
400000	1	69.31
200000	100	6986.03
1000000	100	5236.4
40000	1	32.79
800000	1	81.73
40000	100	5907.3
800000	50	2017.33
10	50	889.22
200000	50	3084.83
600000	100	6139.61
1000000	1	85.67
200000	1	54.19
600000	50	2522.91
400000	50	2219.77
1000000	50	2188.26
10	1	18.31
40000	50	2591.42
