SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	52428800	1372.24
1	5242880	54.13
50	104857600	731.79
100	104857600	2352.14
1	20971520	45.13
100	20971520	6095.98
1	104857600	24.66
50	5242880	2875.9
50	20971520	2315.35
50	10485760	2658.87
100	10485760	5731.02
100	52428800	3757.37
1	52428800	31.4
1	10485760	48.68
100	5242880	6509.04
