SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	104857600	2777.79
50	52428800	1005.18
1	52428800	21.77
1	10485760	30.9
1	104857600	20.99
100	10485760	5808.76
50	5242880	2770.5
50	104857600	859.69
1	20971520	26.91
100	5242880	6161.37
100	52428800	2964.97
50	20971520	1613.41
100	20971520	4689.09
50	10485760	2310.48
1	5242880	33.03
