SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	5242880	67.28
50	104857600	1032.58
1	10485760	62.01
50	5242880	2557.6
100	104857600	2798.85
50	20971520	1879.42
100	5242880	5833.88
1	104857600	32.12
100	10485760	5663.36
50	10485760	2161.25
1	20971520	56.83
50	52428800	1472.54
100	20971520	4683.22
100	52428800	4137.81
1	52428800	42.24
