SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	52428800	3331.39
50	52428800	998.56
100	104857600	2691.2
1	52428800	21.77
50	104857600	880.46
1	5242880	32.79
1	10485760	30.32
50	10485760	2131.1
100	5242880	5907.3
1	104857600	20.98
50	20971520	1567.58
100	20971520	4586.07
1	20971520	26.82
100	10485760	6176.52
50	5242880	2591.42
