SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	4632.1
100	5242880	4983.28
50	5242880	2748.4
50	104857600	1007.07
1	10485760	70.92
1	52428800	55.28
100	52428800	3540.06
1	20971520	68.69
50	52428800	1424.95
1	5242880	83.74
100	20971520	4787.61
50	10485760	2106.8
100	104857600	2800.4
1	104857600	44.92
50	20971520	1806.89
