SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	48.39
50	5242880	2618.47
100	20971520	4879.78
1	104857600	38.82
50	52428800	1370.6
100	10485760	4753.73
50	20971520	2037.46
100	104857600	2846.05
1	20971520	64.2
1	5242880	77.23
100	5242880	5412.34
50	104857600	1218.91
1	10485760	67.84
100	52428800	4068.67
50	10485760	2093.76
