SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	5655.73
1	20971520	63.38
50	20971520	1817.56
50	104857600	1200.49
1	5242880	76.81
50	5242880	2270.91
1	10485760	66.95
50	52428800	1713.1
1	52428800	49.6
50	10485760	1842.46
1	104857600	39.07
100	20971520	4708.6
100	10485760	4675.27
100	104857600	3000.66
100	52428800	3237.4
