SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	4772.46
100	104857600	2942.38
1	10485760	73.54
50	10485760	1657.34
50	52428800	1473.42
1	20971520	73.13
100	52428800	3685.24
100	5242880	4935.06
50	5242880	2224.58
1	104857600	49.75
1	52428800	59.29
100	20971520	3786.56
1	5242880	86.54
50	104857600	1326.48
50	20971520	1868.5
