SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	49.63
100	10485760	4700.61
50	52428800	1406.29
50	5242880	2130.41
100	104857600	3037.38
100	52428800	3533.53
1	20971520	63.9
1	10485760	67.63
100	5242880	5927.24
1	5242880	77.11
100	20971520	4721.09
50	20971520	2045.18
50	104857600	1113.32
1	104857600	39.26
50	10485760	1953.67
