SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	20971520	872.7
100	10485760	2625.22
100	104857600	2498.73
50	10485760	864.22
1	10485760	18.25
1	104857600	18.6
1	52428800	18.42
1	5242880	18.14
100	5242880	2511.54
1	20971520	18.2
50	104857600	864.51
100	20971520	2569.02
100	52428800	2484.9
50	52428800	852.38
50	5242880	887.46
