SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	52428800	1627.87
50	104857600	1041.68
100	52428800	3939.17
100	10485760	5622.9
1	52428800	41.87
1	10485760	61.95
1	5242880	67.59
50	10485760	2203.07
50	5242880	2560.7
100	5242880	5622.43
1	20971520	57.16
100	20971520	5116.0
1	104857600	31.58
50	20971520	2065.74
100	104857600	3013.92
