SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	52428800	1497.56
1	5242880	69.08
50	104857600	1050.75
100	10485760	5809.78
100	20971520	4820.3
1	52428800	42.19
1	20971520	57.29
50	20971520	2186.82
100	104857600	2709.4
1	104857600	31.61
100	52428800	3894.89
1	10485760	60.62
100	5242880	5600.81
50	10485760	2495.66
50	5242880	2360.41
