SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	104857600	2587.98
1	52428800	21.71
100	5242880	5926.39
1	20971520	27.1
1	104857600	21.24
1	5242880	33.42
1	10485760	30.79
100	20971520	4782.79
100	52428800	3139.31
50	52428800	978.75
50	104857600	848.9
50	5242880	2547.07
50	10485760	2055.61
100	10485760	6137.74
50	20971520	1619.25
