SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	104857600	2827.04
1	5242880	68.51
1	52428800	42.29
1	20971520	56.81
50	5242880	2377.07
1	10485760	61.25
100	20971520	5111.04
100	5242880	6275.97
50	20971520	2245.9
50	52428800	1486.19
50	104857600	1002.68
1	104857600	31.31
50	10485760	2169.33
100	52428800	3993.38
100	10485760	6000.21
