SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	104857600	45.55
100	5242880	5258.89
50	20971520	1654.21
1	5242880	82.07
1	20971520	69.62
50	52428800	1525.98
1	52428800	54.35
100	104857600	2972.23
1	10485760	71.54
50	10485760	1906.64
100	20971520	4459.07
50	5242880	2187.29
50	104857600	1147.89
100	10485760	5308.25
100	52428800	3297.83
