SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	5242880	54.15
1	10485760	49.06
100	52428800	4139.05
50	52428800	1383.92
50	10485760	2855.77
1	104857600	24.48
1	20971520	45.18
50	20971520	2257.88
50	104857600	724.63
50	5242880	2789.63
1	52428800	30.63
100	104857600	2247.87
100	10485760	6154.4
100	20971520	5817.73
100	5242880	6000.14
