SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	5242880	18.03
1	20971520	18.35
50	52428800	871.5
1	52428800	18.18
100	5242880	2548.93
1	104857600	18.05
1	10485760	18.71
100	20971520	2599.63
50	5242880	899.9
100	104857600	2567.19
50	10485760	878.48
100	52428800	2579.46
50	20971520	863.63
100	10485760	2494.37
50	104857600	864.98
