SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	10485760	3.7
100	104857600	85.86
100	10485760	183.36
100	5242880	220.58
100	20971520	135.2
1	20971520	3.29
100	52428800	97.96
50	20971520	63.86
50	52428800	50.13
1	104857600	2.46
1	52428800	2.76
1	5242880	3.76
50	5242880	98.49
50	10485760	82.0
50	104857600	43.46
