SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	162.22
50	52428800	34.95
1	5242880	3.43
1	10485760	3.33
100	20971520	85.86
100	104857600	62.73
50	10485760	56.42
50	104857600	28.62
100	10485760	124.29
50	20971520	41.25
50	5242880	70.98
1	104857600	2.01
1	52428800	2.24
100	52428800	67.29
1	20971520	2.87
