SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	293.05
100	20971520	153.36
50	20971520	71.74
1	10485760	3.79
100	10485760	213.9
50	5242880	108.69
100	104857600	101.97
1	20971520	3.39
1	104857600	2.56
100	52428800	119.92
1	52428800	2.87
50	52428800	54.19
50	104857600	50.2
50	10485760	92.58
1	5242880	3.72
