SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	5242880	3.45
50	5242880	74.78
100	5242880	167.83
50	20971520	42.6
1	20971520	2.91
100	52428800	70.28
100	20971520	83.49
1	52428800	2.24
50	52428800	34.57
100	10485760	124.55
50	10485760	55.63
100	104857600	60.99
50	104857600	29.39
1	104857600	2.02
1	10485760	3.4
