SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	1.38
100	10485760	188.29
50	20971520	54.84
1	5242880	1.42
50	10485760	54.72
50	104857600	53.47
1	20971520	1.39
100	52428800	189.5
50	5242880	56.37
1	10485760	1.39
100	5242880	210.12
100	104857600	187.61
100	20971520	199.06
1	104857600	1.38
50	52428800	54.08
