SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	209.96
1	104857600	1.38
50	5242880	56.59
1	20971520	1.38
1	10485760	1.4
50	10485760	53.61
100	10485760	192.55
50	104857600	53.34
50	20971520	55.43
1	52428800	1.37
50	52428800	54.17
100	20971520	194.86
1	5242880	1.43
100	52428800	191.0
100	104857600	186.9
