SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	281.23
1	10485760	3.74
100	52428800	124.11
1	5242880	3.79
1	20971520	3.37
100	20971520	160.62
100	104857600	98.22
1	104857600	2.57
50	20971520	73.43
100	10485760	218.46
50	5242880	107.28
50	10485760	89.74
1	52428800	2.9
50	52428800	54.67
50	104857600	49.71
