SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	20971520	107.38
1	20971520	3.22
100	52428800	82.18
1	10485760	3.62
100	104857600	73.52
1	5242880	3.81
1	104857600	2.26
50	10485760	71.77
1	52428800	2.56
100	10485760	153.23
50	20971520	51.05
50	5242880	84.91
50	52428800	41.8
50	104857600	36.1
100	5242880	197.91
