SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '1000000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	230.35
100	5242880	292.51
1	5242880	3.85
50	5242880	114.11
50	20971520	79.81
1	10485760	3.84
100	52428800	131.92
100	20971520	177.65
1	52428800	2.98
50	10485760	100.27
1	104857600	2.71
50	104857600	57.58
50	52428800	60.88
1	20971520	3.52
100	104857600	109.05
