SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	2.9
100	10485760	213.72
100	104857600	104.64
1	5242880	3.78
50	104857600	51.17
50	20971520	72.51
1	20971520	3.38
100	5242880	279.48
50	5242880	106.42
50	10485760	91.99
1	104857600	2.57
50	52428800	53.73
1	10485760	3.77
100	52428800	123.71
100	20971520	160.5
