SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	1.87
1	104857600	1.82
1	20971520	2.26
50	10485760	42.03
100	5242880	120.32
100	104857600	43.96
50	20971520	32.84
50	104857600	22.43
100	52428800	50.31
1	5242880	2.88
100	10485760	88.16
50	52428800	24.38
100	20971520	73.36
1	10485760	2.7
50	5242880	49.4
