SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	1.85
50	52428800	24.81
1	104857600	1.83
50	5242880	50.17
100	20971520	68.61
1	5242880	2.83
50	10485760	41.27
1	20971520	2.21
50	20971520	33.04
50	104857600	22.49
100	52428800	50.79
100	5242880	115.66
1	10485760	2.67
100	104857600	43.59
100	10485760	90.18
