SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	104857600	22.35
100	10485760	89.87
50	52428800	24.22
1	52428800	1.85
100	5242880	115.4
1	10485760	2.68
1	5242880	2.88
100	52428800	49.78
1	20971520	2.29
50	10485760	41.42
50	5242880	49.99
1	104857600	1.83
100	20971520	68.16
100	104857600	43.52
50	20971520	33.27
