SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	153.8
50	104857600	35.48
1	52428800	2.55
50	10485760	73.62
100	5242880	193.09
100	52428800	82.54
50	52428800	41.9
1	10485760	3.61
1	20971520	3.25
50	20971520	53.21
1	5242880	3.62
50	5242880	82.44
1	104857600	2.27
100	104857600	70.46
100	20971520	105.37
