SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	104857600	36.04
50	20971520	53.78
100	52428800	81.78
100	10485760	158.07
1	52428800	2.58
50	52428800	42.53
100	104857600	72.3
50	5242880	83.54
1	104857600	2.3
100	5242880	194.79
1	20971520	3.18
50	10485760	72.02
1	5242880	3.68
1	10485760	3.63
100	20971520	104.85
