SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	52428800	2.25
50	20971520	39.96
100	20971520	86.06
50	104857600	29.84
1	104857600	2.04
50	52428800	35.41
50	5242880	71.53
100	5242880	163.6
1	20971520	2.9
1	10485760	3.37
100	104857600	61.7
100	52428800	66.51
100	10485760	124.59
1	5242880	3.53
50	10485760	59.73
