SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	104857600	2.28
100	20971520	105.77
50	5242880	86.54
50	104857600	36.66
1	52428800	2.61
1	5242880	3.68
100	5242880	197.82
50	52428800	43.01
1	20971520	3.17
100	104857600	73.05
1	10485760	3.59
50	10485760	71.33
100	10485760	157.24
50	20971520	51.72
100	52428800	84.33
