SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	20971520	32.35
1	52428800	1.88
100	104857600	43.19
50	5242880	50.33
1	104857600	1.82
50	10485760	42.23
50	104857600	22.44
100	52428800	49.4
1	10485760	2.67
1	5242880	2.83
50	52428800	24.7
1	20971520	2.28
100	10485760	88.18
100	5242880	118.93
100	20971520	71.29
