SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	20971520	82.92
100	52428800	68.24
50	5242880	74.86
50	104857600	29.16
1	10485760	3.34
1	104857600	2.0
100	104857600	60.29
1	52428800	2.26
100	10485760	122.06
50	20971520	41.35
50	52428800	34.46
50	10485760	59.03
1	5242880	3.46
100	5242880	160.89
1	20971520	2.88
