SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '104857600'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
40000	1	1.82
600000	50	42.65
10	1	1.38
200000	50	29.16
400000	50	36.23
10	50	52.89
1000000	50	53.37
40000	100	43.96
10	100	189.37
600000	1	2.47
200000	1	2.0
200000	100	60.29
40000	50	22.43
1000000	1	2.66
800000	100	98.22
800000	1	2.57
400000	100	72.81
600000	100	87.29
400000	1	2.28
1000000	100	111.16
800000	50	49.71
