SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
1000000	50	117.6
200000	100	164.47
800000	100	293.05
10	1	1.41
600000	1	3.73
400000	1	3.81
800000	50	108.69
1000000	100	285.39
600000	50	97.51
40000	100	115.4
10	100	212.22
600000	100	258.86
10	50	56.87
40000	1	2.88
400000	50	84.91
1000000	1	3.9
200000	50	71.74
40000	50	49.99
400000	100	197.91
800000	1	3.72
200000	1	3.44
