SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
40000	1	1.87
800000	100	124.11
200000	100	68.24
10	50	53.86
10	1	1.44
1000000	1	2.95
600000	50	53.25
10	100	189.0
200000	1	2.26
40000	100	50.31
600000	100	95.98
1000000	50	61.71
400000	50	41.42
200000	50	34.46
40000	50	24.38
400000	100	81.7
600000	1	2.81
400000	1	2.57
800000	1	2.9
1000000	100	128.58
800000	50	54.67
