SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
40000	100	89.87
800000	1	3.79
400000	1	3.62
800000	100	213.9
600000	100	181.55
400000	50	71.77
200000	100	121.53
400000	100	153.23
40000	1	2.68
600000	50	83.9
600000	1	3.72
10	50	54.9
10	1	1.4
200000	50	56.89
1000000	100	222.15
1000000	50	95.27
1000000	1	3.85
200000	1	3.31
40000	50	41.42
800000	50	92.58
10	100	194.87
