SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	281.23
10	50	56.03
400000	100	197.39
400000	1	3.65
800000	1	3.79
200000	50	74.86
400000	50	86.65
10	1	1.41
10	100	214.48
40000	100	120.32
1000000	100	300.45
1000000	50	113.86
40000	1	2.88
800000	50	107.28
600000	1	3.76
200000	1	3.46
200000	100	160.89
600000	100	231.8
600000	50	101.67
1000000	1	3.9
40000	50	49.4
