SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--threads`	`Avg_Latency(ms)`
1000000	100	235.79
10	1	1.4
600000	100	193.12
800000	1	3.74
1000000	1	3.83
600000	50	83.57
10	50	54.43
400000	100	155.89
200000	1	3.33
40000	50	41.27
800000	50	93.94
600000	1	3.71
1000000	50	96.31
400000	1	3.58
200000	50	56.42
200000	100	124.29
800000	100	215.46
10	100	190.12
40000	1	2.67
400000	50	71.58
40000	100	90.18
